year,month,victim,threat_actor,date_discovered,description
2025,january,payahmedabadechallan.org,KillSecurity,"Jan 31, 2025",…
2025,january,akran.it,Qilin,"Jan 31, 2025",Akran Intellectual …
2025,january,beautyworks.ca,Medusa,"Jan 31, 2025",Beauty Works Spa …
2025,january,benuta.eu,Akira,"Jan 31, 2025",Benuta is Europe’s …
2025,january,centromedicoenova.com,Cloak,"Jan 31, 2025",Centro …
2025,january,dolmorsalon.com,Medusa,"Jan 31, 2025",Dolmor Salon is …
2025,january,edi-dolejs.com,DragonForce,"Jan 31, 2025",edi-dolejs …
2025,january,enginepowersource.com,Lynx,"Jan 31, 2025",Engine Power …
2025,january,farrarusa.com,DragonForce,"Jan 31, 2025",Farrar …
2025,january,fayezspa.com,Medusa,"Jan 31, 2025",Fayez Spa is a …
2025,january,fenstermaker.com,Monti,"Jan 31, 2025",Fenstermaker …
2025,january,groupemenway.com,Akira,"Jan 31, 2025",Groupe Menway …
2025,january,jalaramproduce.com,Lynx,"Jan 31, 2025",Jalaram …
2025,january,jayaapparelgroup.com,Cactus,"Jan 31, 2025",Jaya …
2025,january,johnpaulrichard.com,Cactus,"Jan 31, 2025",…
2025,january,mkats.com,DragonForce,"Jan 31, 2025","Kats, Jamison & …"
2025,january,kpiengineering.com,Lynx,"Jan 31, 2025",KPI …
2025,january,land-and-lakes.com,DragonForce,"Jan 31, 2025",Land and …
2025,january,nenok.de,Monti,"Jan 31, 2025",Nenok GmbH is a leading …
2025,january,nighthawkfoods.com,Play,"Jan 31, 2025",Night Hawk is a …
2025,january,ome.tv,Bashe,"Jan 31, 2025",OmeTV is a free random …
2025,january,ottawafamilyphysicians.com,Qilin,"Jan 31, 2025",Ottawa …
2025,january,pccth.com,Fog,"Jan 31, 2025",Professional Computer …
2025,january,propulsion.academy,Fog,"Jan 31, 2025",Propulsion …
2025,january,scottmfgsolutions.com,Lynx,"Jan 31, 2025",Scott …
2025,january,scp-bp.co.uk,DragonForce,"Jan 31, 2025",SCP Building …
2025,january,scvmedicalgroup.com,Monti,"Jan 31, 2025",SCV Medical …
2025,january,silveradocontractors.com,Lynx,"Jan 31, 2025",Silverado …
2025,january,soitinlaine.fi,3AM,"Jan 31, 2025",Soitin Laine is a …
2025,january,sunrise-soya.com,Cactus,"Jan 31, 2025",Sunrise Soya …
2025,january,ttucorp.com,Cactus,"Jan 31, 2025",Tabletops Unlimited …
2025,january,tri-sen.com,Lynx,"Jan 31, 2025",Tri-Sen Systems …
2025,january,vsstransportationgroup.com,Cactus,"Jan 31, 2025",VSS …
2025,january,waggonereng.com,Cloak,"Jan 31, 2025",Waggoner …
2025,january,x-pans.com,Fog,"Jan 31, 2025",X-pans is a financial …
2025,january,aireuropa.com,INC_RANSOM,"Jan 30, 2025",Air Europa is …
2025,january,alkodistributors.com,Cactus,"Jan 30, 2025",Alko …
2025,january,biagibros.com,Cactus,"Jan 30, 2025",Biagi Bros is a …
2025,january,boginmunns.com,Qilin,"Jan 30, 2025","Bogin, Munns & …"
2025,january,boldonjames.com,INC_RANSOM,"Jan 30, 2025",Boldon James …
2025,january,boutindentino.com,Fog,"Jan 30, 2025","Boutin, Dentino, …"
2025,january,cahoonfarms.com,Play,"Jan 30, 2025",Cahoon Farms is a …
2025,january,cimtel.net,Play,"Jan 30, 2025",Cimtel provides various …
2025,january,beloitwi.gov,INC_RANSOM,"Jan 30, 2025",Beloit is a …
2025,january,crmgco.com,Play,"Jan 30, 2025",Commercial and …
2025,january,davinciretail.com,Play,"Jan 30, 2025",daVinci Retail …
2025,january,delta-screens.com,Lynx,"Jan 30, 2025",Delta Screens …
2025,january,esi-bru.be,Fog,"Jan 30, 2025",École Supérieure …
2025,january,gitlab.com,Fog,"Jan 30, 2025",GitLab is cloud-based …
2025,january,hearttohearthospice.com,INC_RANSOM,"Jan 30, 2025",…
2025,january,mops.gov.il,Handala,"Jan 30, 2025",The Ministry of …
2025,january,johnstonllc.com,Play,"Jan 30, 2025",Johnston LLC is a …
2025,january,kombinat.at,Fog,"Jan 30, 2025",Kombinat is focusing on …
2025,january,marbruco.com,Play,"Jan 30, 2025",Marshall & Bruce …
2025,january,mtclinic.org,INC_RANSOM,"Jan 30, 2025",The Menominee …
2025,january,midwaymetals.com.vn,Ransomhub,"Jan 30, 2025",Midway …
2025,january,montpellier-jeunes-emploi.fr,INC_RANSOM,"Jan 30, 2025",…
2025,january,plymouthfoam.com,Play,"Jan 30, 2025",Plymouth Foam is …
2025,january,prasaga.com,Fog,"Jan 30, 2025",PraSaga is focused on …
2025,january,premierautocredit.com,Cloak,"Jan 30, 2025",Premier …
2025,january,rossi-realestate.com,Lynx,"Jan 30, 2025",Rossi Real …
2025,january,smi.com,Lynx,"Jan 30, 2025","Strategic Materials, Inc. …"
2025,january,studiomontanini.com,DragonForce,"Jan 30, 2025",Studio …
2025,january,tnlottery.com,INC_RANSOM,"Jan 30, 2025",Tennessee …
2025,january,thewendtagency.com,Lynx,"Jan 30, 2025",The Wendt …
2025,january,turningleafrehab.com,INC_RANSOM,"Jan 30, 2025",Turning …
2025,january,versalys.com,Qilin,"Jan 30, 2025",Versalys offers …
2025,january,wklaw.com,Play,"Jan 30, 2025",Wallin & Klarich …
2025,january,zschimmer-schwarz.com,Termite,"Jan 30, 2025",Zschimmer …
2025,january,acoustiblok.com,Monti,"Jan 29, 2025",Acoustiblok Inc. …
2025,january,broward.edu,INC_RANSOM,"Jan 29, 2025",Broward College …
2025,january,bblawfirm.com,Monti,"Jan 29, 2025","Budlong & Scelfo, …"
2025,january,carthagetexas.com,Rhysida,"Jan 29, 2025",Carthage is a …
2025,january,cnnindonesia.com,INC_RANSOM,"Jan 29, 2025",CNN …
2025,january,delpackaging.com,KAIROS,"Jan 29, 2025",Del Packaging …
2025,january,pajak.go.id,Babuk,"Jan 29, 2025",Direktorat Jenderal …
2025,january,kaisersbach.de,Cloak,"Jan 29, 2025",Gemeinde …
2025,january,my.indihome.co.id,Babuk,"Jan 29, 2025",IndiHome is a …
2025,january,mercyscb.com,Akira,"Jan 29, 2025",Mercy Supply …
2025,january,metalurgicaroma.com,Monti,"Jan 29, 2025",Metalurgica …
2025,january,muscogee.k12.ga.us,SafePay,"Jan 29, 2025",The Muscogee …
2025,january,neovita.de,Cloak,"Jan 29, 2025",Neovita is a German …
2025,january,oru.edu,Rhysida,"Jan 29, 2025",Oral Roberts University …
2025,january,qcn.com.au,Akira,"Jan 29, 2025",Queensland Capacity …
2025,january,sce.org.sg,Lynx,"Jan 29, 2025",Singapore Cooperation …
2025,january,tsmx.net.br,Funksec,"Jan 29, 2025",TSMX is a company …
2025,january,mpdc.dc.gov,Babuk,"Jan 29, 2025",The Metropolitan …
2025,january,addisonsaws.co.uk,Medusa,"Jan 28, 2025",Addison Saws …
2025,january,adenfootwear.ca,Medusa,"Jan 28, 2025",Aden Footwear & …
2025,january,amps.com,Babuk,"Jan 28, 2025",Advanced Medical Pricing …
2025,january,alentec.com,Babuk,"Jan 28, 2025",Alentec & Orion …
2025,january,alocenter.se,Lynx,"Jan 28, 2025","ALO Center, …"
2025,january,ardexaustralia.com,Medusa,"Jan 28, 2025",ARDEX …
2025,january,bacacountyco.gov,Babuk,"Jan 28, 2025",Baca County …
2025,january,bocagroup.com,Babuk,"Jan 28, 2025",BOCA Group …
2025,january,englishbraids.com,Medusa,"Jan 28, 2025",English Braids …
2025,january,grandfire.net,Akira,"Jan 28, 2025",Grand Fire provides …
2025,january,human.de,Babuk,"Jan 28, 2025",HUMAN Diagnostics has …
2025,january,leehartman.com,Metaencryptor,"Jan 28, 2025",Lee …
2025,january,mresolve.com,Akira,"Jan 28, 2025",Mark Resolve Inc is …
2025,january,milesindustries.com,Medusa,"Jan 28, 2025",Miles …
2025,january,mypertamina.id,Babuk,"Jan 28, 2025",MyPertamina is a …
2025,january,ngautomatics.co.uk,Medusa,"Jan 28, 2025",NG Automatics …
2025,january,plandj.co.uk,Medusa,"Jan 28, 2025",Philip Laney & …
2025,january,prinstonpharm.com,INC_RANSOM,"Jan 28, 2025",Prinston …
2025,january,qed.co.ug,Funksec,"Jan 28, 2025",QED Solutions Ltd is …
2025,january,rdca.com.sg,Qilin,"Jan 28, 2025",RDC Architects Pte …
2025,january,treehotel.co.uk,Funksec,"Jan 28, 2025",The Tree Hotel …
2025,january,wanntl.com,Qilin,"Jan 28, 2025",Wannemacher …
2025,january,w-medien.de,Babuk,"Jan 28, 2025",Württemberger Medien …
2025,january,achieverssciencejournal.org,Funksec,"Jan 27, 2025",The …
2025,january,aishutech.com,RansomHouse,"Jan 27, 2025",AIshu …
2025,january,aws.amazon.com,GDLockerSec,"Jan 27, 2025",Amazon Web …
2025,january,ampol.com.au,CL0P,"Jan 27, 2025",Ampol is a leading …
2025,january,aquasys.cz,DragonForce,"Jan 27, 2025",Aquasys is a …
2025,january,artika.com,CL0P,"Jan 27, 2025",Artika is dedicated to …
2025,january,bermanbros.com,Medusa,"Jan 27, 2025",Berman Brothers …
2025,january,bigotti.ro,SafePay,"Jan 27, 2025",Bigotti is a premium …
2025,january,bmiusa.com,CL0P,"Jan 27, 2025",Bmi USA is a top …
2025,january,bradleycaldwell.com,CL0P,"Jan 27, 2025",Bradley …
2025,january,burrislogistics.com,CL0P,"Jan 27, 2025",Burris …
2025,january,businesssysinteg.com,CL0P,"Jan 27, 2025",Business …
2025,january,calexiscs.com,CL0P,"Jan 27, 2025",Calex ISCS provides …
2025,january,cdrsoftware.com,CL0P,"Jan 27, 2025",CDR Software …
2025,january,cellsciencesystems.com,SafePay,"Jan 27, 2025",Cell …
2025,january,chappellschools.com,Medusa,"Jan 27, 2025",Chappell …
2025,january,datasociete.net,KillSecurity,"Jan 27, 2025",…
2025,january,dlshs.org,Fog,"Jan 27, 2025","De La Salle High School, …"
2025,january,eltekgroup.com,Fog,"Jan 27, 2025",Eltek Group operates …
2025,january,emkay.com,CL0P,"Jan 27, 2025",Emkay is a fleet …
2025,january,envirosep.com,Abyss,"Jan 27, 2025",Envirosep designs …
2025,january,fgse.cu.edu.eg,GDLockerSec,"Jan 27, 2025",The Faculty …
2025,january,gisportz.com,CL0P,"Jan 27, 2025",GI Sportz acquired …
2025,january,hillbros.com,CL0P,"Jan 27, 2025",Hill Brothers …
