Victim,Threat Actor,Date Discovered,Description,Summary,Page
lsgrim.com,Sinobi,"Dec 21, 2025",L.S. Grim Consulting …,Real-time Data Breach Monitoring for the Enterprise,2
lfjcc.org,Sinobi,"Dec 21, 2025",The Lawrence Family …,©2025 Breachsense - All Rights Reserved,2
mstarproperties.com,Akira,"Dec 21, 2025",Morningstar …,,2
nbscanada.org,Sinobi,"Dec 21, 2025",Network of …,,2
optimumwindow.com,Sinobi,"Dec 21, 2025",Optimum Window …,,2
prmech.com,INC_RANSOM,"Dec 21, 2025",Pacific Rim …,,2
phillipsscalesalaska.com,Akira,"Dec 21, 2025",Phillips …,,2
raglandjones.com,Sinobi,"Dec 21, 2025",The Ragland Law …,,2
rkcenters.com,Sinobi,"Dec 21, 2025",Retail Centers of …,,2
sstd.net,Sinobi,"Dec 21, 2025",South Shore Tool & Die …,,2
sattvagroup.com,Sinobi,"Dec 21, 2025",The Sattva Group …,,2
acmerepair.com,Akira,"Dec 18, 2025","ACME Industrial, …",,2
ag-ltd.com,Akira,"Dec 18, 2025","Adelman & Gettleman, …",Real-time Data Breach Monitoring for the Enterprise,3
amla.io,DragonForce,"Dec 18, 2025",Amla Commerce is a …,©2025 Breachsense - All Rights Reserved,3
artcitydental.com,SafePay,"Dec 18, 2025",Art City …,,3
axion50plus.org,Devman,"Dec 18, 2025",Axion 50 plus is …,,3
bancovimenca.com,LeakNet,"Dec 18, 2025",Banco Vimenca …,,3
capitalsafi.com,Qilin,"Dec 18, 2025",Capital + Safi is …,,3
ciif.ph,Qilin,"Dec 18, 2025",The Coconut Industry …,,3
cvkhotelsandresorts.com,INC_RANSOM,"Dec 18, 2025",CVK …,,3
eurofret77.fr,Qilin,"Dec 18, 2025",Eurofret Transports …,,3
scopazzo.com.ar,Qilin,"Dec 18, 2025",Ferretería …,,3
gandlmechanical.com,SafePay,"Dec 18, 2025",G & L …,,3
hrbjorkman.se,Qilin,"Dec 18, 2025",Hr Björkmans …,,3
latitude33.com,Akira,"Dec 18, 2025",Latitude 33 …,Real-time Data Breach Monitoring for the Enterprise,4
medhelpclinics.com,Termite,"Dec 18, 2025",MedHelp …,©2025 Breachsense - All Rights Reserved,4
netstaraustralia.com.au,BlackShrantac,"Dec 18, 2025",…,,4
notar-gerresheim.de,SafePay,"Dec 18, 2025",Notariat …,,4
podovia.pl,Qilin,"Dec 18, 2025",Podovia a private …,,4
pueblowestmetro.com,Qilin,"Dec 18, 2025",Pueblo West …,,4
rooselaw.com,WorldLeaks,"Dec 18, 2025",Roose Ressler & …,,4
sasp.fr,Crypto24,"Dec 18, 2025",SASP Services is an …,,4
seguriamericas.com,SafePay,"Dec 18, 2025",Seguridad …,,4
silverlinegroupinc.com,SafePay,"Dec 18, 2025",…,,4
smilecenterutah.com,SafePay,"Dec 18, 2025",Smile …,,4
smithhawks.com,WorldLeaks,"Dec 18, 2025","Smith Hawks, …",,4
aranetagroup.com,OSIRIS,"Dec 18, 2025",The Araneta …,Real-time Data Breach Monitoring for the Enterprise,5
visionwheel.com,PayoutsKING,"Dec 18, 2025",Vision …,©2025 Breachsense - All Rights Reserved,5
zimeda.eu,SafePay,"Dec 18, 2025",Zimeda GmbH & Co. KG …,,5
auzzo.com,Sinobi,"Dec 17, 2025",A. Uzzo & Company …,,5
advancedentdenver.com,Lynx,"Dec 17, 2025",Advanced ENT …,,5
allurehome.com,Play,"Dec 17, 2025",Allure Home …,,5
aspenviewacademy.org,SafePay,"Dec 17, 2025",Aspen View …,,5
autohaus-paschke.de,SafePay,"Dec 17, 2025",Autohaus …,,5
ernst-auto.de,SafePay,"Dec 17, 2025",Autohaus Willy …,,5
avenira.com,INC_RANSOM,"Dec 17, 2025",Avenira Limited …,,5
bowmanleasing.com,Sinobi,"Dec 17, 2025",Bowman Trailer …,,5
securityutah.com,Sinobi,"Dec 17, 2025",Centurion …,,5
cinemaconceptsstudios.com,Sinobi,"Dec 17, 2025",Cinema …,Real-time Data Breach Monitoring for the Enterprise,6
edkone-attorney.com,DragonForce,"Dec 17, 2025",Edward …,©2025 Breachsense - All Rights Reserved,6
elc-electroconsult.com,Everest,"Dec 17, 2025",ELC …,,6
fairgroveoil.com,Play,"Dec 17, 2025",Fairgrove Oil & …,,6
firstrateak.com,LockBit,"Dec 17, 2025",First Rate …,,6
fl-ortho.net,Sinobi,"Dec 17, 2025",Florida Orthopaedic …,,6
gpcind.co.uk,DragonForce,"Dec 17, 2025",GPC Industries …,,6
trustholiday.com,Sinobi,"Dec 17, 2025","Holiday Tours, …",,6
hoodriverdentist.com,SafePay,"Dec 17, 2025",Hood River …,,6
illumina.com,CoinbaseCartel,"Dec 17, 2025","Illumina, …",,6
keycodes.net,Sinobi,"Dec 17, 2025",Keycodes Inspection …,,6
ktlgroup.com,Lynx,"Dec 17, 2025",KTL Group Inc. is an …,,6
lanmarkgc.com,Sinobi,"Dec 17, 2025","Lanmark Group, …",Real-time Data Breach Monitoring for the Enterprise,7
legershaw.com,DragonForce,"Dec 17, 2025",Leger & Shaw …,©2025 Breachsense - All Rights Reserved,7
liftpro.com,DragonForce,"Dec 17, 2025",LiftPRO …,,7
maypayfarms.com,Play,"Dec 17, 2025",Maypay Farms Inc. …,,7
mckeepownall.ca,DragonForce,"Dec 17, 2025",…,,7
mercurywire.com,Sinobi,"Dec 17, 2025",Mercury Wire …,,7
milhench.com,Sinobi,"Dec 17, 2025",Milhench Supply …,,7
ogi-groupe.fr,WorldLeaks,"Dec 17, 2025",OGI Groupe is …,,7
peaker.com,Sinobi,"Dec 17, 2025","Peaker Services, Inc. …",,7
powercurbers.com,Sinobi,"Dec 17, 2025",Power Curbers …,,7
precisebenefits.com,INC_RANSOM,"Dec 17, 2025",…,,7
